Area Code;Item Code;Element Code;Year;qty
2;2511;5142;2011;4711
2;2805;5142;2011;476
2;2513;5521;2011;203
2;2513;5142;2011;72
2;2514;5521;2011;191
2;2514;5142;2011;73
2;2517;5142;2011;14
2;2520;5142;2011;0
2;2531;5142;2011;169
2;2536;5521;2011;83
2;2537;5521;2011;0
2;2542;5142;2011;240
2;2543;5142;2011;21
2;2745;5142;2011;2
2;2549;5521;2011;5
2;2549;5142;2011;81
2;2551;5142;2011;71
2;2560;5142;2011;0
2;2561;5142;2011;17
2;2563;5142;2011;2
2;2571;5142;2011;16
2;2572;5142;2011;0
2;2573;5142;2011;16
2;2574;5142;2011;2
2;2575;5142;2011;3
2;2577;5142;2011;51
2;2579;5142;2011;2
2;2580;5142;2011;1
2;2586;5142;2011;2
2;2601;5142;2011;0
2;2605;5142;2011;865
2;2611;5142;2011;109
2;2614;5142;2011;32
2;2615;5142;2011;28
2;2617;5142;2011;56
2;2618;5142;2011;0
2;2619;5142;2011;6
2;2620;5142;2011;334
2;2625;5142;2011;198
2;2630;5142;2011;0
2;2633;5142;2011;1
2;2635;5142;2011;63
2;2640;5142;2011;0
2;2645;5142;2011;9
2;2655;5142;2011;0
2;2656;5142;2011;3
2;2658;5142;2011;0
2;2731;5142;2011;141
2;2732;5142;2011;161
2;2734;5142;2011;77
2;2735;5142;2011;12
2;2736;5142;2011;55
2;2740;5142;2011;33
2;2743;5142;2011;3
2;2737;5142;2011;16
2;2744;5142;2011;32
2;2848;5521;2011;114
2;2848;5142;2011;1676
2;2761;5142;2011;2
2;2680;5142;2011;2
2;2905;5521;2011;394
2;2905;5142;2011;5345
2;2907;5142;2011;169
2;2908;5521;2011;83
2;2909;5142;2011;264
2;2911;5521;2011;5
2;2911;5142;2011;81
2;2912;5142;2011;71
2;2913;5142;2011;19
2;2914;5142;2011;92
2;2918;5142;2011;865
2;2919;5142;2011;762
2;2922;5142;2011;64
2;2923;5142;2011;9
2;2924;5142;2011;3
2;2943;5142;2011;389
2;2945;5142;2011;55
2;2946;5142;2011;52
2;2949;5142;2011;32
2;2948;5521;2011;114
2;2948;5142;2011;1676
2;2960;5142;2011;2
2;2928;5142;2011;2
3;2511;5521;2011;25
3;2511;5142;2011;439
3;2805;5521;2011;0
3;2805;5142;2011;21
3;2513;5521;2011;8
3;2513;5142;2011;1
3;2514;5521;2011;358
3;2514;5142;2011;8
3;2515;5142;2011;2
3;2516;5521;2011;28
3;2516;5142;2011;0
3;2517;5521;2011;0
3;2518;5521;2011;0
3;2520;5521;2011;0
3;2520;5142;2011;0
3;2532;5142;2011;0
3;2531;5521;2011;69
3;2531;5142;2011;124
3;2533;5142;2011;4
3;2534;5142;2011;0
3;2537;5521;2011;1
3;2542;5142;2011;55
3;2543;5142;2011;83
3;2745;5142;2011;3
3;2546;5521;2011;0
3;2546;5142;2011;15
3;2547;5142;2011;0
3;2549;5521;2011;1
3;2549;5142;2011;1
3;2551;5142;2011;13
3;2555;5142;2011;0
3;2556;5142;2011;0
3;2558;5142;2011;0
3;2560;5142;2011;0
3;2563;5521;2011;0
3;2563;5142;2011;57
3;2570;5521;2011;0
3;2571;5142;2011;0
3;2572;5142;2011;0
3;2573;5142;2011;15
3;2574;5142;2011;0
3;2577;5142;2011;0
3;2580;5142;2011;2
3;2582;5142;2011;1
3;2586;5142;2011;4
3;2601;5142;2011;175
3;2602;5142;2011;105
3;2605;5521;2011;78
3;2605;5142;2011;511
3;2611;5142;2011;43
3;2612;5142;2011;5
3;2613;5142;2011;4
3;2614;5142;2011;0
3;2615;5142;2011;17
3;2616;5142;2011;0
3;2617;5142;2011;70
3;2618;5142;2011;0
3;2619;5142;2011;12
3;2620;5142;2011;148
3;2625;5142;2011;123
3;2630;5142;2011;7
3;2633;5142;2011;2
3;2635;5142;2011;0
3;2640;5142;2011;0
3;2641;5142;2011;0
3;2645;5142;2011;0
3;2655;5142;2011;24
3;2656;5142;2011;89
3;2657;5142;2011;0
3;2658;5142;2011;9
3;2731;5142;2011;67
3;2732;5142;2011;41
3;2733;5142;2011;35
3;2734;5142;2011;42
3;2735;5142;2011;0
3;2736;5142;2011;12
3;2740;5142;2011;3
3;2743;5142;2011;1
3;2737;5142;2011;6
3;2781;5142;2011;0
3;2782;5142;2011;0
3;2744;5142;2011;24
3;2848;5521;2011;99
3;2848;5142;2011;950
3;2761;5142;2011;2
3;2762;5142;2011;2
3;2763;5521;2011;0
3;2763;5142;2011;8
3;2764;5142;2011;3
3;2765;5142;2011;1
3;2766;5142;2011;1
3;2767;5142;2011;1
3;2769;5142;2011;0
3;2775;5142;2011;0
3;2680;5142;2011;0
3;2905;5521;2011;419
3;2905;5142;2011;470
3;2907;5521;2011;69
3;2907;5142;2011;128
3;2908;5521;2011;1
3;2909;5142;2011;141
3;2911;5521;2011;1
3;2911;5142;2011;16
3;2912;5142;2011;13
3;2913;5521;2011;0
3;2913;5142;2011;58
3;2914;5142;2011;22
3;2918;5521;2011;78
3;2918;5142;2011;791
3;2919;5142;2011;421
3;2922;5142;2011;9
3;2923;5142;2011;0
3;2924;5142;2011;121
3;2943;5142;2011;185
3;2945;5142;2011;12
3;2946;5142;2011;10
3;2949;5142;2011;24
3;2948;5521;2011;99
3;2948;5142;2011;950
3;2960;5521;2011;0
3;2960;5142;2011;18
3;2961;5142;2011;0
3;2928;5142;2011;0
4;2511;5521;2011;450
4;2511;5142;2011;6983
4;2805;5521;2011;6
4;2805;5142;2011;80
4;2513;5521;2011;798
4;2513;5142;2011;506
4;2514;5521;2011;2400
4;2514;5142;2011;557
4;2515;5142;2011;0
4;2516;5521;2011;64
4;2516;5142;2011;0
4;2517;5521;2011;1
4;2518;5521;2011;0
4;2518;5142;2011;1
4;2520;5521;2011;2
4;2520;5142;2011;1
4;2532;5142;2011;0
4;2531;5521;2011;0
4;2531;5142;2011;2437
4;2534;5142;2011;0
4;2536;5521;2011;0
4;2542;5142;2011;1007
4;2543;5142;2011;20
4;2745;5142;2011;5
4;2546;5142;2011;78
4;2547;5142;2011;14
4;2549;5521;2011;13
4;2549;5142;2011;207
4;2551;5142;2011;51
4;2555;5521;2011;0
4;2555;5142;2011;0
4;2556;5142;2011;10
4;2558;5142;2011;1
4;2560;5142;2011;3
4;2561;5142;2011;5
4;2562;5142;2011;0
4;2563;5142;2011;106
4;2570;5521;2011;2
4;2571;5142;2011;296
4;2572;5142;2011;20
4;2573;5142;2011;79
4;2574;5142;2011;16
4;2577;5142;2011;21
4;2578;5142;2011;2
4;2579;5142;2011;0
4;2580;5142;2011;61
4;2582;5142;2011;1
4;2586;5142;2011;73
4;2601;5142;2011;882
4;2602;5142;2011;1087
4;2605;5521;2011;3
4;2605;5142;2011;3399
4;2611;5142;2011;1002
4;2612;5142;2011;66
4;2613;5142;2011;2
