Area Code;Area;Area Abbreviation;latitude;longitude
176;Timor-Leste;TLS;-8.87;125.73
217;Togo;TGO;8.62;0.82
220;Trinidad and Tobago;TTO;10.69;-61.22
222;Tunisia;TUN;33.89;9.54
223;Turkey;TUR;38.96;35.24
213;Turkmenistan;TKM;38.97;59.56
226;Uganda;UGA;1.37;32.29
230;Ukraine;UKR;48.38;31.17
225;United Arab Emirates;ARE;23.42;53.85
229;United Kingdom;GBR;55.38;-3.44
215;United Republic of Tanzania;TZA;-6.37;34.89
231;United States of America;USA;37.09;-95.71
234;Uruguay;URY;-32.52;-55.77
235;Uzbekistan;UZB;41.38;64.59
155;Vanuatu;VUT;-15.38;166.96
236;Venezuela (Bolivarian Republic of);VEN;6.42;-66.59
237;Viet Nam;VNM;14.06;108.28
249;Yemen;YEM;15.55;48.52
251;Zambia;ZMB;-13.13;27.85
181;Zimbabwe;ZWE;-19.02;29.15
